アーヘン	아헨
矛盾	모순
長府	나가후
グレンジャー	그레인저
幽助	유조
ヴェールター	베일터
ノビリオル	노빌리올
ギジェット	기젯
レーヴァテイル	레바테일
シケル	시켈
ターノワー	타노워
ドゥニエ	두니에
ケンク	켄크
ミッターマイヤー	미터 마이어
発掘	발굴
上院	상원
全域	글로벌
出現	나타나다
連結	연결
55	55
2012	2012
昔	옛날
山岳	산악
ビール	맥주
おそらく	아마도
救援	구조하다
トレーニング	훈련
火災	불
集まっ	모인
1933	1933
石油	기름
デモ	데모
男女	남자와 여자
渡辺	와타나베
再現	재현
披露	피로
リーダー	리더
抱い	포옹
大正	다이쇼
中期	중간고사
覆わ	덮다
歯	치아
とる	취하다
因ん	원인
礼拝	예배
部品	부품
去っ	떠나
策	책
移し	이동
留まっ	머물다
ナイト	밤
答え	대답
満州	만주
条例	규제
美しい	아름다운
難民	난민
ドラフト	초안
校長	교장
発	발
兼ね	정액
独占	독점
取り入れ	통합
異常	이상
改修	리노베이션
鎮圧	진압
意思	평균
セーブ	세이브
たる	타루
サイズ	사이즈
航行	범주
30	30
ポート	포트
カラー	칼라
一貫	일관성
大衆	대중
次元	차원
リード	리드
保有	보유
山頂	산 정상
難しい	어려운
アー	아
邸宅	저택
反映	반영하다
ターミナル	터미널
署	부서
並行	동시
日常	일일
連載	연재
ワラキア	와라키아
かける	걸다
全線	전체 범위
控え	삼가
味	맛
起こる	일어나다
新潟	니가타
作中	작중
配備	장비
ギリシア	그리스
神話	신화
しれ	수
一環	한 개의 반지
直線	일직선
エル	엘
ワン	한
車線	차선
緩和	완화
平野	평야
言え	말할 수
絵画	회화
熊野	쿠마노
ボディ	바디
保管	보관
想定	가정
ゆえ	따라서
町域	마을 지역
氷	얼음
アリゲイニー	알리게이니
構え	자세
守	경비원
屋敷	저택
カンザス	캔자스
切断	절단
成分	성분
怒り	분노
誇る	자랑
風味	맛
ミッション	미션
1926	1926
山縣	야마가타
長鯨	긴 고래
外相	외상
安羅	안 루오
長房	장방
トゥールーン	투룬
餌付け	먹이
フラタニティ	프래터니티
哲元	철원
ガルバ	갈바
ケロロ	케로로
クレランド	클레랜드
ウゴリーノ	우고리노
バグボ	버그보
ジッキンゲン	지킨겐
クネイトラ	쿠네이트라
シュトイベン	슈토이벤
ウェルテル	웰텔
泥門	머드 게이트
ティチャラ	티차라
ウミベミンク	우미베밍크
种暠	종하오
トルソーツキイ	토르소츠 키이
どれみ	어딘가
わたる	와타루
戦前	전쟁 전
古典	고전
来日	오는 날
醸造	양조
負っ	잃다
統計	통계
洪水	홍수
谷	골짜기
パーク	파크
ブル	불
ピーター	피터
平安	안전
勉強	공부
新設	신설
伝わる	전달하다
職員	직원
学院	학부
忠誠	충의
要因	요인
働き	일
1954	1954
容疑	용의
1961	1961
開け	열다
魚雷	수뢰
被	이불
つく	쓰다
現状	현재 상태
遭遇	맞닥뜨리다
構想	구상
課	수업
気象	기상
51	51
戸	문
緊急	긴급한
宮城	미야기
釈放	석방
朔	슈오
有利	유리한
板	그릇
殿堂	홀
取り組ん	작업
診断	진단
同国	동국
期限	용어
出資	기부금
ハワイ	하와이
葬儀	장례식
飾っ	꾸미다
戦車	탱크
ポジション	포지션
小学	국민 학교
乗せ	태우다
商店	가게
失い	잃다
季節	계절
領地	지역
196	196
1914	1914
1919	1919
探し	찾기
46	46
保険	보험
山梨	야마나시
根	뿌리
翼	비행
幅	폭
分散	분산
ルーマニア	루마니아
音声	음성
ジョンストン	존스턴
補助	보조
文庫	문고
浦	우라
パワー	힘
本土	현지의
ヒトラー	히틀러
軽量	경량
君主	군주
刀	칼
アムトラック	암트럭
夫婦	부부
庫	도서관
築い	쌓다
魂	영혼
素	하얀색
紀	규율
清水	시미즈
ハム	햄
進化	진화
所蔵	소장
料金	수수료
記憶	메모리
国土	땅
移植	이식
201	201
対処	대처
入力	입력
開戦	개전
幼児	유아
打席	타석
高温	고온
アスペルガー	아스퍼거
本堂	본당
驤	博
めっき	도금
カユ	카유
孫堅	선 젠
パリティ	패리티
ユークトバニア	유크트바니아
直冬	바로 겨울
ウォースパイト	워스파이트
晋侯	진공작
エクイ	에퀴이
お鏡	거울
ザアタル	자아탈
タリベ	타리베
伊衛	이에
兵補	군인들
マーテロー	마테로
テオフィロス	테오필로스
カタラウガス	카탈라우가스
うてな	우테나
スペシフツェワ	스페시프체바
クテシッポス	쿠테시포스
間隔	간격
関わら	세키와라
婚約	약혼
演劇	연극
腹	배
オーバー	오버
思う	생각하다
呼ん	전화
手がけ	작업
乾燥	건조
ペン	펜
巨人	거인
サウス	사우스
話す	말하다
落とし	떨어뜨리다
結び	매듭
質量	품질
破り	찢다
中村	나카무라
アラブ	아랍
ガラス	유리
固め	단단한
取ら	잡다
捕らえ	붙잡음
辞職	사직
所領	소령
生存	생존하다
なくなっ	사라집니다.
特性	특성
艦長	선장
戦場	전장
小笠原	오가사와라
京	베이징
ユーザー	사용자
合唱	합창
認める	인정하다
陥っ	함정
オーケストラ	오케스트라
1932	1932
天井	천장
もたらさ	온다
解任	해임
行なっ	행하다
合同	계약
オン	켜짐
コミュニティ	커뮤니티
記者	보고자
アイドル	아이돌
プロデューサー	프로듀서
主導	주요한
話題	화제
仲	사이
犬	개
無事	안전
起訴	기소
控訴	불평
ベル	벨
いえ	아니
送り	이송
はっきり	명확하게
奈良	나라
守り	방어
傘下	산하
一揆	일소
クラシック	클래식
キャプテン	캡틴
吉田	요시다
迎える	맞이하다
ルイス	루이스
1965	1965
打ち上げ	발사
術	기술
目撃	목격
ガン	총
モロッコ	모로코
案内	안내
国連	유엔
一体	모두 하나로
後者	후자
経緯	경위
哨戒	초계
項	목
アート	예술
変わる	변화하다
かね	카네
あくまで	어디까지나
弾薬	탄약
拒絶	거절
佐藤	사토
闘争	투쟁
課題	도전
後部	후방
テネシー	테네시
埴輪	시바와
会合	회의
師範	정상
船舶	배들
松山	마쓰야마
行使	운동
三塁	미루
遠く	멀리
デラウェア	델라웨어
ウィー	위
モチーフ	모티프
海水	바닷물
欧米	오미
龍	용
ワム	왓
通貨	통화
不安	불안
テスココ	테스코코
正面	앞쪽
勝ち越し	승리
スピン	스핀
梁	양
奥	안쪽
ジェーン	제인
布告	알아채다
恩	친절
流下	흐름
ヴァンダービルト	밴더빌트
稙長	긴
蕪湖	우후
グズ	구즈
ハドラー	허들러
ボレスワフ	보레스와프
ペトルーシュカ	페트루슈카
コロニア	콜로니아
ヴァラドン	발라돈
リナルド	리날드
オズグッド	오즈굿
蕎麦湯	소바탕
ハカイダー	하카이더
サジェストペディア	서제스트 페디아
タイオガ	타이오가
バラーラデーヴァ	발라라 데바
小辺路	작은 변로
レイェフスキ	레이예프스키
チャクアンバ	차쿠 암바
ヌンガー	뉘거
ハンドアウト	핸드아웃
スヴァトポルク	스바트폴크
広まっ	넓다
ジャズ	재즈
43	43
ビッグ	빅
くらい	정도
64	64
ストーン	돌
背後	뒤에
若者	청소년
損失	손실
動作	행동
スプリング	스프링
狩猟	사냥
幼少	어린
黄色	노란색
従い	순종
順位	순위
土	토
民衆	민중
樹立	설립하다
書記	비서
グレイ	그레이
チャート	차트
タレント	탤런트
並ぶ	늘어선
1953	1953
倒れ	쓰러지다
徹底	철저한
37	37
艦載	함선
斎	사이
先住	원주
退職	은퇴
話し	말하기
立つ	서다
才能	재능
青	녹색
表彰	인식
任意	어느
援軍	강화군
書類	서류
幅広い	폭넓은
大尉	대위
皇后	여왕
1951	1951
単行	단행
グランド	그랜드
程	정도
退却	후퇴
妨害	방해
ベイ	베이
前進	계속하세요
絶望	절망
羽	깃털
実践	실천
市内	시내
果実	열매
ソフトウェア	소프트웨어
明	밝은
宿	숙소
祭り	축제
採掘	채굴
把握	파악
軽	가벼운
墜落	내려오다
勤め	근무
天候	날씨
関節	관절
決議	해결
和平	평화
帰る	돌아가다
校舎	학교 건물
改名	이름 변경
フランク	프랭크
師事	사사
1949	1949
学習	학습
検出	탐지
促進	홍보하다
テニス	테니스
送信	전송
業績	성능
マシン	기계
キロメートル	킬로미터
1962	1962
限	한계
漁業	수산업
原爆	원폭
出走	도망자
信長	노부나가
職業	직업
北条	호조
悪く	나쁘다
鳥	새
入口	입구
1916	1916
死体	시체
黒い	검은색
略奪	약탈
タンパク	단백질
助言	조언
流出	유출
大野	오노
配下	부하
往復	왕복
捨て	버리다
斎藤	사이토
投与	투약
幕下	마쿠시타
不動	움직임이 없다
エリーザベト	엘리자벳
征長	장정(長征)
小松島	고마쓰시마
トービン	토빈
カロリーネ	칼로리네
コームズ	콤스
義祐	의상
シュリースハイム	슐리스하임
レムス	렘스
為兼	을 위한
ロスコ	로스코
ジョンハク	종학
キルヒアイス	키르히 아이스
ベレロポーン	벨레로폰
プロトテカ	프로토테카
キャトリン	캐틀린
ターガリエン	타가리엔
ジオマンシー	지오만시
フラヴンケル	플라븐켈
イェレミッチ	예레미치
シプトン	쉬프톤
素六	수류
スクワイアズ	스콰이어스
ヴェルファースハイム	벨퍼스하임
ダーゴル	다고르
予測	예측
ジャンル	장르
ポール	폴
表し	표현
ほう	호
腐朽	부식
秋田	아키타
変異	돌연변이
水力	유압
1969	1969
財務	재원
雇用	고용
跡地	유적지
成人	성인
無料	무료
もうけ	벌써
重賞	중상
在住	거주
腕	팔
触れ	만지다
中断	방해하다
残留	잔여물
1912	1912
含ん	포함
逃走	탈출하다
鈴木	스즈키
バー	바
関わる	참여하다
気持ち	기분
半数	절반
救助	구조하다
王立	왕립
顕著	눈에 띄는
屋根	지붕
募集	모집
小さく	작은
付属	부속
アーティスト	아티스트
図る	그림
書籍	서적
集める	모으다
マスター	마스터
児	어린이
警戒	경계
恵まれ	축복
有罪	죄책감이 드는
出航	출항
追跡	추적
主任	감독
振り	흔들다
午前	오전
時刻	시간
上演	수행됨
脅威	위협
告げ	말
擁立	옹립
考古	고고학
出土	발굴됨
この頃	이때
メス	여성
見解	의견
珍しい	특이한
広がる	퍼짐
大気	대기
突入	돌입
庁舎	청사
修行	관행
トーナメント	토너먼트
検索	검색
別れ	이별
会話	대화
海洋	대양
後任	후임
衣装	의상
画像	이미지
壊滅	괴멸
ラオス	라오스
告発	고발
ロー	로우
傾斜	경사
渡し	전달
シンガポール	싱가포르
一旦	한 번
文章	기사
行なわ	행해
主催	주최
景観	경관
プール	풀
配慮	배려
コロンビア	콜롬비아
タグ	태그
参考	참고
携帯	모바일
大砲	대포
協同	협동
工房	공방
カントリー	컨트리
受信	수신
能	할 수 있는
合理	합리적인
宝	귀중한
前提	전제
パネル	패널
フットボール	축구
ダック	오리
王宮	대전
ソックス	양말
制圧	제압
名声	평판
狭い	좁은
後世	후세대
ディスク	디스크
試作	프로토 타입
聖書	성경
ボルヘス	볼헤스
栄え	번영
方言	방언
産別	산별
雰囲気	분위기
レン	렌
強盗	강도
構内	구내
許	5월
秀元	히데모토
支藩	나뭇가지
亀甲	거북이
苗代	미아오시로
デントン	덴튼
武臣	무신
とわ子	토와코
ピブーンソンクラーム	피븐슨 크람
為義	의로움을 위하여
ピエリーナ	피에리나
陳誠	천청
フクヤマ	후쿠야마
ボタモチ	보타모치
プリュム	프럼
ファスター	패스터
夸呂	쿠알루
ヴァルザー	발자르
エパクト	효과
ジョシフ	조시프
ホーフガイスマー	호프 가이스머
フェリドゥーン	페리돈
パッチム	패치
残菊	잔기국
セテワヨ	세테와요
港湾	항구
丁	남성
転向	전향
補佐	보좌
やり	하는
農場	농장
弱い	약하다
1942	1942
重傷	중상을 입었다
報じ	보도
ウェスト	웨스트
南軍	남군
郡内	카운티
古墳	고분
図っ	그림
招待	초대
趣味	취미
白色	하얀색
まったく	전혀
入賞	입상
正規	정규
ウルグアイ	우루과이
勧め	추천
編	편
1927	1927
給与	급여
イラク	이라크
申請	적용하다
外務	외무
運命	운명
ライバル	라이벌
党員	당원
帰り	돌아가다
アトランタ	애틀랜타
批評	흠잡다
終盤	종반
皆	모두
人類	인간
懲役	징역
南方	남쪽
ゲスト	게스트
ドン	동
ピーク	피크
数え	카운트
連携	협력
退任	퇴임
スタジオ	스튜디오
唐	당나라
薛	쉐
忠	충의
太守	지사
僧	수도사
刺史	지방 장관
制し	통제
即座	즉시
くれ	줘
さん	씨
です	입니다
主体	본체
路上	길에서
113	113
僅か	약간
例外	예외
112	112
未来	미래
殆ど	대부분
大人	성인
数字	숫자
プロレス	프로레슬링
囚人	죄수
らしい	같다
積ん	쌓다
旨	목적
突破	돌파구
47	47
陣営	진영
自民	자민
洗浄	세척
入隊	입대
徳	덕
亜	아
パートナー	파트너
傍ら	이웃
湿地	습지
キャンパス	캠퍼스
扉	문
迎撃	요격
東方	동쪽
襲わ	습격
結社	결사
外側	밖의
品質	품질
ひとり	혼자
バスケットボール	농구
協議	규약
開放	열려 있는
パス	경로
至ら	이르다
評議	댓글
192	192
適し	적합하다
有機	본질적인
コンピュータ	컴퓨터
リーチ	도달
記号	기호
面会	면회
蔵	쿠라
テスト	테스트
刺激	자극하다
国有	국유
桜	벚꽃
隠し	숨겨진
所得	소득
出会っ	만남
海兵	해병
すぎる	너무
イゼトベゴヴィッチ	이제토베고비치
タッチ	터치
人材	인재
警告	경고하다
食用	먹을 수 있는
フロア	플로어
ミス	실수
不振	우울증
臨時	일시적인
暫定	잠정
極端	극심한
特許	특허
王家	왕가(王家)
雲	구름
サラ	사라
召集	소집하다
津波	쓰나미
論理	논리
虫	벌레
剣術	검술
世話	돌보는
個別	개인
長女	장녀
アスペクト	가로세로
191	191
右手	오른손
，	，
今度	이번에
主流	주류
引き起こし	일으키는
耐え	견디다
証	증거
プリキュア	프리큐어
ロボット	로봇
電鉄	전철
ナカドーチェス	나카도체스
荷	짐
ホモロジー	호모로지
武家	무가
クロー	클로
オーラヴ	올라브
勇	용기
韓	한국
モルダヴィア	몰다비아
圓生	원생
バビロニア	바빌로니아
シオン	시온
土匪	적기
アダムズ	아담스
園城	가든 시티
董卓	동 주오
華子	화자
城柵	도시 울타리
モササウルス	모사사우루스
柴木	시바키
マギア	마기아
ホールデン	홀덴
ムワッヒド	무와히드
ベルナールト	베르나르트
コネクソン	커넥슨
寅次	寅次
ファティマ	파티마
シャフルバラーズ	샤플 밸러스
テーザー	테이저
ピカーレル	피카렐
ヴェダ	베다
コルヴェア	코르베아
貯氷	저빙
リュッツォウ	류초
ルバーブ	루버브
シュクレ	슈크레
オーバーウルゼル	오버우르젤
ベンスハイム	벤스하임
テンボ	템보
イヴァーン	이반
メロダク・バルアダン	멜로닥 발아단
経過	경과
75	75
育て	양육
起こり	일어나는
町名	마을 이름
脚	발
開き	오픈
観点	관점
1861	1861
実業	사업
落選	낙선
贈ら	선물
インタビュー	인터뷰
地雷	지뢰
招い	초대
全土	전토
孤立	외딴
育っ	자라다
生育	비옥
鏡	거울
市川	이치카와
高麗	고려
皮膚	피부
三十	삼십
規格	사양
1937	1937
安	설치하다
薄い	얇은
不能	할 수 없다
したがっ	따라서
フィリップ	필립
州都	주도
譲渡	양도
起こす	일으키다
中将	중장
統制	통제
強硬	힘든
信任	신뢰하다
ランド	랜드
復元	복원
浮上	부상
官僚	관료
関数	기능
セル	셀
重複	반복하다
新規	신규
法学	법
野党	야당
実績	업적
アイテム	아이템
畑	밭
会見	회견
閣僚	각료
侯爵	후작
葬ら	장례식
陽	긍정적인
加藤	카토
しかも	게다가
なん	뭐야
学問	학문
好ん	선호
式典	식전
歌詞	가사
ポスト	포스트
社員	직원
南端	사우스엔드
デイ	데이
密度	밀도
集合	모으다
遺物	유물
回収	회수
密か	조밀한
症状	증상
空中	공중선
盤	그릇
寄付	기부
加速	가속하다
重い	무거운
今回	이번에
追わ	쫓아
タクシー	택시
根拠	근거
なす	이루다
渋谷	시부야
コネチカット	코네티컷
香川	가가와
ライセンス	라이센스
操業	운영
記す	쓰다
着手	시작하세요
成果	결과
めぐっ	메구
去る	떠나다
移さ	이동
張	열려 있는
水源	물 공급원
表す	대표
出会う	만나다
衛生	건강
八幡	하치만
熊	곰
指	참조하다
コスト	비용
代替	바꾸다
割合	비율
富	부자
コントロール	통제
赴き	부탁
告白	고백
木製	나무
武	우
ネットワーク	네트워크
義	의로운
72	72
集会	모임
77	77
隆	융
併せ	함께
産駒	산코마
ヘッセン	헤센
賠償	보상
運ば	운반
太郎	타로
モントリオール	몬트리올
レンジャーズ	레인저스
王妃	공주
院長	학장
宋	노래
具	도구
商	사업
冷却	식어라
城下	성하
大和	야마토
死刑	사형제
四国	시코쿠
ウォーカー	워커
妖怪	요괴
ホームズ	홈즈
顎	턱
吉川	요시카와
化合	콤비네이션
左翼	좌익
夏季	여름
右側	오른쪽
原住	원주민
レンジャー	레인저
オキナワ	오키나와
アラム	알람
寝台	수면
二塁	2루
脂肪	지방
芽衣	메이
スポイラー	스포일러
分数	분수
恭順	겸손한
天智	천지
キュニョー	큐뇨
図像	도상
ピカード	피카드
鎮静	진정
アンドレーエフ	안드레예프
ペンシルバニア	펜실베니아
ウァッロ・ルクッルス	왈로 루쿨루스
アルバートサウルス	알버트 사우루스
モンクット	몽쿠트
タカイホーマ	타카이 호마
風穴	바람 구멍
晴賢	하루카
政繁	정시
デナ	데나
バゼーヌ	바젠
ヒアエノドン	히아에노돈
アンフィポリス	암피폴리스
衛満	웨이 맨
サビーン	사빈
クライエンゼン	크라이엔젠
榑木	느릅나무
デイヴィ	데이비
頒封	수여
死斑	사각지대
秋白	추바이
シームルグ	시무루그
コラル	코랄
ヘスペロスクス	헤스페로스쿠스
ハイネセン	하이네센
ヴァフシティ	버프 시티
クヴァルクヴァレ	쿠발크발레
ガミ	가미
エイロヌイ	에일로누이
ソンドハイム	송도하임
ミクソーマウイルス	믹소마 바이러스
本欄	본란
ユゼルシュ	유젤슈
ゲーデルン	게데른
以内	이내
周り	주변
書く	쓰기
ビジネス	사업
ノミネート	후보
循環	주기
1934	1934
おこなっ	일어난
就職	취직
論争	논쟁
有数	유수
品種	다양성
資産	자산
賛成	찬성
ポニョ	포뇨
ニュース	뉴스
標高	고도
州間	주간
広大	광대
球	공
酸素	산소
ドライバー	운전자
君	너
繁栄	번영
就く	취하다
札幌	삿포로
高かっ	높은 괄호
ボクシング	권투
日中	주간
221	221
破産	파산
縁	가장자리
描き	그리기
両側	양측
扱う	취급하다
敗退	패배
支	나뭇가지
乗車	승차
キン	킨
なぜ	왜
荒廃	황폐
習慣	습관
要員	요원
枝	나뭇가지
長らく	오랫동안
望ん	희망
同等	동일한
させる	시키다
ジェイムズ	제임스
教区	교구
飾り	장식
1925	1925
救出	구출
ボーナス	보너스
実家	친가
削除	삭제
外れ	벗어나다
交際	교제
役者	배우
コート	코트
米軍	미국 육군
書き	쓰기
レンズ	렌즈
シナリオ	시나리오
過ごす	보내다
行列	행렬
うまく	잘
弁	밸브
称さ	칭함
課程	강의
上回る	능가하다
上級	우수한
定住	정착
駐車	주차
砂漠	사막
和	그리고
フィン	핀
達する	도달하다
はるか	하루카
エリザベス	엘리자베스
マス	매스
対空	대공
匹	마리
偶然	우연한
復讐	복수
豊臣	도요토미
エチオピア	에티오피아
役所	관공서
靴	신발
当て	맞다
グラフィック	그래픽
小屋	오두막
実在	실재
標識	심벌 마크
行事	행사
厳密	엄격
高め	증가
いれ	어
排気	배기
出生	태어나다
乗組	승조
調達	조달
望む	원하는
楽団	악단
貴重	소중한
法的	합법적인
ジェット	제트
名乗る	자칭하다
大手	선도
飲食	다이어트
進める	진행하다
記	기억하다
経費	경비
劇団	극단
大勢	많은
堀	해자
対称	대칭
三浦	미우라
河口	하구
編曲	준비
正統	전통적인
旅団	여단
稀	드문
栄養	영양
切っ	자르다
鉄砲	철포
ゴールド	금
中盤	중반
駆動	구동
博覧	박람
リング	반지
会計	회계
フォース	힘
1848	1848
盗塁	도루
好み	취향
タンク	탱크
座席	좌석
任さ	맡기다
汚染	오염
原料	원료
階段	단계
奪っ	빼앗다
該当	해당
確か	확실히
柄	무늬
貯蔵	저장
顧客	고객
ドライ	건식
本願	본원
賞金	상금
神道	신도
群馬	군마
徐	쉬
合金	합금
桂	구이
付ける	붙이다
楼	건물
旋回	소용돌이
ウラン	우라늄
カースト	카스트
筆頭	필두
ゼロックス	제록스
フェリー	페리
海防	하이퐁
ダッ	다
髄液	수액
怪獣	괴물
チャップリン	채플린
ボーカス	보커스
プルマン	풀먼
ツヒンヴァリ	츠힌발리
マヨ	마요
鉾	鉾
ジャバ	자바
ブラヴァツキー	브라바츠키
ベーラー	베일러
捻軍	니안 군대
ポンパーノ	폼파노
北尾	기타오
雷蔵	뇌조
ベルンシュトルフ	베른슈토르프
オンブル	옴블
マグヌセン	마그누센
ウィゾー	위조
パスパルトゥー	패스파르투
プサントレン	부산 트렌
シャムス	샴스
エーディト	에디트
ビーティヒハイム	비티히하임
ソヌ	소누
珣子	순자
アフガーニー	아프가니
キンマ	김마
アレトゥーサ	알레투사
アムネリス	암네리스
コルティナ	코르티나
ヒメグモ	히메구모
アモリ	아모리
セントジェネビーブ	세인트 제네비브
ヨヌ	요누
ヨシヒコ	요시히코
オスタ・オペイド	오스타 오피드
ヴラディミレスク	블라디미레스크
バウチャー	바우처
ズビスコ	주비스코
フリョーラ	플요라
ヴィレバートエッセン	빌레바트 에센
テンチ	텐치
許靖	쉬 징
マジコン	매지콘
ヒュン	현대
ドゥボイズ	두보이즈
キンクラーゼ	킨클라제
スマングル	스만글
自転	자전
取材	취재
1915	1915
マンハッタン	맨해튼
衝撃	충격
ジャクソン	잭슨
ブドウ	포도
公的	공적
コメント	코멘트
霊	영
班	수업
人生	삶
内陸	내륙
数百	수백
隣	이웃
クリーク	크릭
直ぐ	즉시
阪神	한신
奪	인상
混合	혼합
治安	공공 안전
撤去	철거
次男	차남
メラニン	멜라닌
陰	부정적인
クーデター	쿠데타
虐殺	학살
樹	나무
解雇	해고
ウクライナ	우크라이나
演技	연기
シドニー	시드니
認知	인식
1923	1923
英雄	영웅
純	순수한
57	57
上海	상하이
駐在	주재
角度	각도
発し	출발
捜索	수색
復旧	복구
上がっ	상승
地盤	대지
融合	퓨전
開く	열다
専念	헌신
有限	제한된
声優	성우
ダウン	다운
後述	후술
ミュージシャン	음악가
最新	최신
松本	마츠모토
情勢	상황
懸念	우려
申し出	제안
豪華	사치
大賞	대상
佐賀	사가
プレミア	프리미어
198	198
疾患	질병
腰	허리
スーツ	정장
個性	성격
追撃	추격
水平	수준
重大	주요한
国籍	국적
194	194
残す	떠나다
名づけ	명명
聖人	성자
左岸	좌안
ファイル	파일
創業	창업가정신
差異	차이점
捕食	먹이
取り組み	이니셔티브
捕獲	포착
パイロット	조종사
当たり	히트
進展	진전
アーチ	아치
拓跋	투오바
止める	멈추다
本編	본편
不可欠	필수
定	틀림없이
乗務	승무
排出	해고하다
巡っ	순회
討伐	토벌
チェーン	체인
日曜	일요일
入院	입원
初戦	초전
自国	자국
ジョーンズ	존스
髪	헤어
公認	수락됨
厳しく	엄격히
誘拐	납치
クック	쿡
史料	역사적 데이터
上野	우에노
歩い	걷다
加わり	합류
並び	정렬
住人	거주자
上田	우에다
油	기름
水準	수준
とり	소요
高齢	노인
広域	광역
回数	횟수
バン	밴
用語	용어
門下	지도 하에
スパルタ	스파르타
エース	에이스
ゲージ	게이지
エイ	에이
ベッド	침대
アレン	알렌
配給	배급
町内	동네
竣工	완성
要望	요청
保育	보육
土木	토목공학
剣	검
デトロイト	디트로이트
39	39
骨折	골절
同校	동교
甲子	지아지
悲しみ	슬픔
反抗	저항
小倉	고쿠라
新生	신생아
キングズ	킹스
一塁	이치루
真珠	진주
ラー	라
西郷	사이고
拷問	고문
野田	노다
先行	선행
ペルシア	페르시아
山科	산과
主席	대통령
当主	당주
進路	진로
公使	장관
付着	고착
神聖	신성한
山東	산둥
竜	용
ニューハンプシャー	뉴햄프셔
西武	세이부
鍵	열쇠
周波	주파수
湿原	습지
左側	왼쪽
大名	다이묘
敷か	깔개
車内	차내
音響	오디오
コマ	컷
大井	오이
解約	해지
犯	범죄자
漢	중국인
伊豆	이즈
おにぎり	주먹밥
レゲエ	레게
民家	민가
入門	시작하기
ソニック	소닉
グリコ	글리코
挙兵	거병
追捕	사냥
モーグ	모그
ベンゾジアゼピン	벤조디아제핀
ミフェプリストン	미페프리스톤
ミハイ	미하이
ゲラルト	게랄트
ティンズ	틴즈
ジェム	젬
接眼	접안
タヒチ	타히티
声風	소리 바람
オルデンドルフ	올덴도르프
メッセニア	메세니아
シーホース	바다 호스
与五郎	요고로
苻生	푸성
ッケ	케케
クライスキー	크라이스키
つぐみ	츠구미
ラドベルゲン	라드베르겐
イベンビューレン	이벤 뷰렌
ビュルカウ	뷔르카우
幸安	유안
パドレ	파드레
リステリア	리스테리아
ホッベマ	호베마
ピノキオ	피노키오
筋痛	근육통
公太郎	공타로
セウェロス	세웰로스
ポポヴィッチ	포포비치
ナナリー	나나리
ダーヴィド	다비드
ゴルヤノヴィッチ	고르야노비치
ばらずし	장난
ホルツミンデン	홀츠민덴
ペタルーマ	페탈루마
ブレイビク	브레이빅
ドロワ・ド・ロム	드로와 드 롬
シュニットガー	슈니트거
オフタルモサウルス	오프탈 모사우루스
フォラカー	포라카
パープスト	퍼스트
ケーニヒスエック	케니히스에크
シュタインハーゲン	슈타인하겐
辰義	타츠요시
スラヴャンスク	슬라방스크
ビュールシュタット	뷰르슈타트
ザーヴォナ	자보나
キャヴァリア	카바리아
アルヴァーロ	알바로
洪作	홍수오
タメルラーノ	타멜라노
ゾンヌ	존느
纘	가능
レーオポルツヘーエ	레오 포르츠헤에
ギラロン	길라롱
トランチブル	트랜치블
ウァティニウス	와티니우스
ヴェッツ	베츠
メルカッツ	메르카츠
短く	짧게
恋人	연인
こなし	소리
木材	목재
1936	1936
ウェブサイト	웹사이트
1917	1917
1929	1929
買っ	구매
見なさ	보기
高橋	다카하시
出荷	선적
入社	입사
東映	도에이
バード	버드
入居	입주
木造	목조
ニー	니
セントルイス	세인트루이스
地理	지리학
三角	삼각형
環	반지
広げ	펼치다
引き起こす	일으키다
1924	1924
確実	확실
高まり	증가
発砲	발포
上京	상경
44	44
1921	1921
鉱物	미네랄
ジム	체육관
孔	구멍
違っ	다르다
没収	몰수
習得	습득
台地	대지
築か	쌓다
乗員	승무원
支える	지원하다
色彩	색상
テロ	테러
僧侶	승려
録音	녹음
三重	삼중
男爵	남작
魅力	매력
老朽	노후
振興	활력화
ショップ	상점
仮	임시
パフォーマンス	공연
敵対	적대
利点	장점
考案	고안
219	219
配属	배속
ショック	충격
出産	출산
分裂	나뉘다
バルカン	발칸
伯	악
ストア	스토어
愛称	애칭
くれる	준다
負い	잃다
不良	나쁜
若手	젊은
保健	건강 관리
もらう	받다
コーヒー	커피
抜擢	발탁
演じる	연기하다
首位	1위
ドラム	드럼
捉え	포착
好む	선호
繰り広げ	펼치다
海域	해역
先頭	선두
国旗	국기
自主	자치
ジャケット	재킷
歌っ	노래
切れ	끊다
宝石	보석
騒動	소동
装甲	갑옷
双子	쌍둥이
及ん	확장
疑問	의문
暖房	난방
肩	어깨
茎	줄기
違法	불법적인
か所	곳
泉	봄
造ら	건축
住友	스미토모
浜	해변
怒っ	분노
改めて	다시
倒し	쓰러뜨리다
サム	샘
シー	바다
水痘	수두
初日	첫날
読み	읽기
軽い	가벼운
集結	집회
諦め	포기
実戦	실전
箱	상자
1911	1911
道場	도장
ゼントラーディ	젠틀라디
並べ	나란히
上がる	오르다
たとえば	예를 들면
選考	전형
楽しむ	즐기다
併設	병설
1775	1775
併合	병합
同市	동시
役人	장교
注文	주문
施し	먹다
騎兵	기병대
先生	신사
許し	용서
四球	포볼
フライ	플라이
メド	메도
保障	확신하다
衆	중
うる	우루
寄与	기여
奪取	잡다
派生	파생
疑い	의심
密接	밀접한
63	63
殿	절
作者	작가
灰色	회색
太田	오타
